topic,level,days_spent,next_topic
combinatorics,easy,1,probability
simulation,easy,2,design
sorting,easy,2,greedy
monotonic stack,medium,4,sliding window
concurrency,medium,5,design
stack,easy,1,monotonic stack
stack,hard,7,monotonic stack
combinatorics,easy,2,probability
design,medium,4,system design
matrix,hard,7,simulation
bitmask,medium,4,backtracking
combinatorics,medium,5,probability
binary search,medium,4,graph theory
sliding window,medium,3,two pointers
tree,hard,7,graph theory
dynamic programming,medium,4,memoization
simulation,easy,1,design
math,medium,3,number theory
binary search,medium,4,graph theory
graph theory,medium,3,minimum spanning tree
binary indexed tree,hard,6,range query
segment tree,easy,1,binary indexed tree
probability,hard,6,statistics
greedy,hard,7,dynamic programming
probability,hard,7,statistics
math,hard,6,number theory
hash table,easy,2,tree
math,medium,4,number theory
string,medium,3,sorting
graph theory,hard,6,shortest path
linked list,medium,4,doubly-linked list
graph theory,hard,6,shortest path
trie,easy,2,string matching
sorting,hard,7,binary search
sorting,easy,1,binary search
sorting,medium,5,greedy
concurrency,medium,5,design
breadth-first search,medium,5,graph theory
binary search,medium,4,graph theory
segment tree,medium,3,binary indexed tree
number theory,hard,6,combinatorics
breadth-first search,medium,5,graph theory
concurrency,medium,4,design
stack,easy,1,monotonic stack
shortest path,easy,1,graph theory
divide and conquer,medium,5,segment tree
system design,medium,5,concurrency
simulation,easy,1,design
array,hard,6,hash table
matrix,hard,7,simulation
recursion,medium,4,divide and conquer
trie,medium,3,string matching
dynamic programming,easy,2,bitmask
stack,medium,4,monotonic stack
bitmask,hard,6,backtracking
system design,hard,7,concurrency
breadth-first search,easy,2,graph theory
binary search,medium,3,tree
binary indexed tree,medium,5,range query
binary indexed tree,easy,2,range query
monotonic stack,hard,7,sliding window
recursion,medium,5,divide and conquer
system design,easy,1,concurrency
backtracking,hard,6,recursion
breadth-first search,hard,6,graph theory
depth-first search,hard,7,breadth-first search
linked list,easy,1,doubly-linked list
system design,hard,6,concurrency
number theory,easy,1,combinatorics
linked list,easy,2,doubly-linked list
linked list,medium,4,doubly-linked list
probability,easy,2,statistics
design,medium,3,system design
backtracking,medium,3,recursion
tree,easy,1,binary tree
concurrency,medium,5,design
string matching,easy,2,rolling hash
shortest path,hard,6,graph theory
tree,hard,6,graph theory
trie,hard,7,string matching
number theory,easy,2,combinatorics
dynamic programming,hard,6,bitmask
simulation,medium,4,design
concurrency,hard,6,design
binary tree,medium,4,depth-first search
stack,easy,1,monotonic stack
sorting,medium,5,binary search
segment tree,medium,4,binary indexed tree
two pointers,medium,3,array
design,medium,5,system design
trie,hard,7,string matching
string matching,easy,1,rolling hash
breadth-first search,hard,6,graph theory
greedy,medium,3,dynamic programming
two pointers,hard,6,array
breadth-first search,hard,7,graph theory
simulation,medium,4,design
recursion,hard,6,divide and conquer
dynamic programming,medium,4,bitmask
graph theory,medium,4,minimum spanning tree
monotonic stack,easy,2,sliding window
dynamic programming,medium,4,memoization
binary tree,medium,4,depth-first search
array,easy,1,hash table
binary tree,medium,4,depth-first search
breadth-first search,hard,6,graph theory
graph theory,medium,3,shortest path
linked list,medium,3,doubly-linked list
sliding window,easy,1,two pointers
hash table,hard,7,tree
system design,medium,4,concurrency
recursion,medium,4,divide and conquer
binary tree,easy,1,depth-first search
array,medium,4,string
two pointers,hard,7,array
string matching,hard,6,rolling hash
sorting,medium,3,greedy
array,medium,5,string
greedy,medium,4,dynamic programming
graph theory,easy,1,shortest path
two pointers,medium,5,array
backtracking,medium,5,recursion
array,hard,6,string
bitmask,medium,4,backtracking
hash table,medium,4,tree
linked list,medium,3,doubly-linked list
number theory,hard,7,combinatorics
tree,hard,7,binary tree
monotonic stack,medium,4,sliding window
linked list,medium,3,doubly-linked list
linked list,medium,3,doubly-linked list
dynamic programming,hard,7,bitmask
matrix,medium,4,simulation
rolling hash,hard,6,suffix array
simulation,easy,1,design
bitmask,medium,3,backtracking
combinatorics,hard,6,probability
string,medium,4,hash table
sliding window,hard,7,two pointers
number theory,hard,7,combinatorics
binary indexed tree,hard,7,range query
simulation,easy,1,design
array,medium,3,string
rolling hash,medium,5,suffix array
number theory,easy,1,combinatorics
backtracking,easy,1,recursion
trie,medium,5,string matching
binary tree,medium,3,depth-first search
shortest path,medium,3,graph theory
design,hard,7,system design
stack,easy,2,monotonic stack
two pointers,easy,1,array
combinatorics,medium,5,probability
combinatorics,medium,5,probability
system design,hard,7,concurrency
probability,hard,6,statistics
simulation,medium,4,design
bitmask,easy,1,backtracking
linked list,hard,7,doubly-linked list
rolling hash,medium,3,suffix array
math,easy,1,number theory
depth-first search,easy,2,breadth-first search
string matching,medium,4,rolling hash
monotonic stack,easy,1,sliding window
sorting,easy,2,greedy
breadth-first search,easy,1,graph theory
sorting,easy,2,greedy
breadth-first search,hard,7,graph theory
hash table,hard,6,graph theory
system design,easy,2,concurrency
depth-first search,easy,2,breadth-first search
probability,hard,6,statistics
bitmask,easy,1,backtracking
string,hard,7,sorting
simulation,hard,7,design
tree,easy,2,graph theory
string,medium,3,hash table
tree,easy,2,graph theory
breadth-first search,easy,1,graph theory
rolling hash,medium,4,suffix array
recursion,hard,6,divide and conquer
probability,hard,6,statistics
backtracking,easy,2,recursion
sorting,hard,6,binary search
shortest path,easy,2,graph theory
shortest path,hard,7,graph theory
simulation,hard,7,design
shortest path,hard,7,graph theory
design,easy,1,system design
backtracking,medium,3,recursion
backtracking,medium,3,recursion
bitmask,hard,6,backtracking
probability,easy,2,statistics
concurrency,medium,4,design
graph theory,medium,4,minimum spanning tree
simulation,hard,7,design
sliding window,hard,6,two pointers
string,hard,7,hash table
recursion,hard,6,divide and conquer
bitmask,medium,4,backtracking
linked list,medium,3,doubly-linked list
combinatorics,medium,4,probability
concurrency,easy,2,design
bitmask,easy,1,backtracking
string matching,hard,7,rolling hash
divide and conquer,easy,1,segment tree
combinatorics,easy,1,probability
two pointers,easy,1,array
probability,easy,1,statistics
recursion,medium,3,divide and conquer
tree,medium,5,binary tree
number theory,medium,3,combinatorics
stack,easy,2,monotonic stack
sliding window,easy,1,two pointers
dynamic programming,easy,2,memoization
tree,easy,2,graph theory
binary tree,easy,2,depth-first search
depth-first search,medium,5,breadth-first search
binary indexed tree,easy,1,range query
math,medium,5,number theory
recursion,medium,3,divide and conquer
math,hard,7,number theory
concurrency,medium,4,design
recursion,hard,7,divide and conquer
monotonic stack,hard,7,sliding window
backtracking,medium,3,recursion
recursion,medium,3,divide and conquer
segment tree,easy,1,binary indexed tree
sorting,hard,6,greedy
segment tree,easy,2,binary indexed tree
design,hard,7,system design
segment tree,medium,4,binary indexed tree
rolling hash,medium,4,suffix array
dynamic programming,medium,5,memoization
recursion,medium,5,divide and conquer
depth-first search,hard,7,breadth-first search
binary search,medium,5,graph theory
binary search,easy,2,graph theory
sliding window,easy,1,two pointers
shortest path,hard,7,graph theory
string matching,medium,3,rolling hash
combinatorics,medium,5,probability
system design,easy,1,concurrency
shortest path,medium,4,graph theory
stack,hard,7,monotonic stack
design,medium,5,system design
bitmask,medium,5,backtracking
combinatorics,easy,1,probability
bitmask,hard,6,backtracking
depth-first search,medium,3,breadth-first search
bitmask,easy,2,backtracking
shortest path,medium,4,graph theory
number theory,medium,3,combinatorics
simulation,easy,2,design
hash table,medium,4,graph theory
number theory,hard,7,combinatorics
hash table,hard,6,tree
math,hard,6,number theory
graph theory,medium,5,minimum spanning tree
system design,medium,4,concurrency
breadth-first search,medium,3,graph theory
divide and conquer,medium,4,segment tree
trie,medium,5,string matching
tree,hard,6,graph theory
string matching,medium,4,rolling hash
concurrency,hard,6,design
math,hard,7,number theory
depth-first search,hard,7,breadth-first search
segment tree,medium,3,binary indexed tree
matrix,easy,1,simulation
linked list,hard,7,doubly-linked list
divide and conquer,easy,2,segment tree
matrix,medium,4,simulation
string matching,hard,7,rolling hash
probability,medium,3,statistics
two pointers,easy,2,array
trie,medium,5,string matching
hash table,easy,1,tree
segment tree,hard,7,binary indexed tree
string matching,hard,7,rolling hash
rolling hash,easy,1,suffix array
tree,medium,4,graph theory
dynamic programming,medium,3,memoization
array,hard,6,hash table
binary indexed tree,hard,6,range query
segment tree,hard,7,binary indexed tree
concurrency,easy,1,design
probability,medium,3,statistics
design,easy,2,system design
segment tree,medium,5,binary indexed tree
binary indexed tree,hard,7,range query
shortest path,hard,7,graph theory
breadth-first search,medium,4,graph theory
dynamic programming,hard,6,bitmask
divide and conquer,medium,5,segment tree
rolling hash,medium,5,suffix array
stack,easy,2,monotonic stack
shortest path,hard,6,graph theory
depth-first search,medium,3,breadth-first search
backtracking,hard,7,recursion
binary tree,easy,1,depth-first search
binary search,easy,2,tree
system design,hard,7,concurrency
greedy,hard,6,dynamic programming
system design,easy,2,concurrency
linked list,medium,4,doubly-linked list
trie,easy,2,string matching
greedy,hard,7,dynamic programming
binary indexed tree,hard,6,range query
number theory,hard,6,combinatorics
matrix,easy,1,simulation
dynamic programming,medium,3,memoization
shortest path,hard,6,graph theory
linked list,hard,6,doubly-linked list
string matching,easy,1,rolling hash
segment tree,hard,7,binary indexed tree
monotonic stack,hard,6,sliding window
sorting,easy,2,greedy
design,easy,2,system design
rolling hash,easy,2,suffix array
array,easy,1,string
probability,easy,1,statistics
depth-first search,medium,5,breadth-first search
graph theory,hard,7,shortest path
array,easy,1,string
string matching,hard,6,rolling hash
sliding window,easy,2,two pointers
tree,easy,1,binary tree
string matching,medium,4,rolling hash
array,hard,6,hash table
matrix,easy,2,simulation
design,medium,3,system design
probability,hard,6,statistics
dynamic programming,easy,1,bitmask
shortest path,medium,5,graph theory
probability,hard,6,statistics
binary tree,hard,6,depth-first search
tree,easy,1,binary tree
greedy,medium,5,dynamic programming
segment tree,hard,6,binary indexed tree
sorting,medium,4,greedy
combinatorics,medium,4,probability
string matching,hard,6,rolling hash
binary search,hard,6,graph theory
design,medium,4,system design
design,medium,5,system design
dynamic programming,hard,6,bitmask
breadth-first search,easy,2,graph theory
monotonic stack,medium,5,sliding window
simulation,hard,6,design
stack,hard,6,monotonic stack
backtracking,easy,1,recursion
shortest path,easy,2,graph theory
binary tree,hard,6,depth-first search
tree,easy,2,binary tree
monotonic stack,medium,3,sliding window
system design,medium,5,concurrency
linked list,easy,2,doubly-linked list
divide and conquer,hard,7,segment tree
rolling hash,hard,7,suffix array
graph theory,medium,5,minimum spanning tree
string matching,hard,6,rolling hash
math,easy,2,number theory
linked list,easy,1,doubly-linked list
tree,medium,5,binary tree
divide and conquer,medium,5,segment tree
divide and conquer,hard,7,segment tree
rolling hash,hard,6,suffix array
linked list,easy,1,doubly-linked list
breadth-first search,medium,3,graph theory
math,hard,6,number theory
segment tree,hard,7,binary indexed tree
number theory,easy,2,combinatorics
breadth-first search,hard,7,graph theory
monotonic stack,medium,4,sliding window
breadth-first search,medium,3,graph theory
simulation,medium,5,design
sliding window,medium,3,two pointers
probability,hard,7,statistics
graph theory,medium,3,shortest path
stack,hard,7,monotonic stack
trie,medium,4,string matching
greedy,medium,3,dynamic programming
string,medium,4,hash table
math,medium,5,number theory
shortest path,easy,2,graph theory
graph theory,medium,5,minimum spanning tree
string,easy,1,sorting
divide and conquer,medium,4,segment tree
math,medium,3,number theory
array,medium,4,string
number theory,easy,2,combinatorics
design,hard,6,system design
binary tree,hard,6,depth-first search
binary search,hard,7,tree
trie,medium,5,string matching
binary indexed tree,easy,2,range query
breadth-first search,hard,6,graph theory
hash table,hard,6,tree
probability,medium,4,statistics
simulation,easy,2,design
concurrency,hard,7,design
backtracking,hard,6,recursion
depth-first search,hard,6,breadth-first search
greedy,easy,1,dynamic programming
binary tree,easy,2,depth-first search
stack,medium,5,monotonic stack
graph theory,easy,1,shortest path
probability,medium,5,statistics
backtracking,medium,4,recursion
tree,hard,6,graph theory
array,hard,7,string
concurrency,hard,6,design
tree,easy,1,graph theory
rolling hash,medium,3,suffix array
sorting,medium,5,greedy
greedy,hard,7,dynamic programming
combinatorics,medium,4,probability
hash table,easy,2,graph theory
string,easy,1,sorting
system design,hard,7,concurrency
system design,easy,2,concurrency
bitmask,medium,5,backtracking
dynamic programming,easy,1,memoization
probability,easy,2,statistics
stack,easy,2,monotonic stack
binary tree,medium,5,depth-first search
stack,medium,5,monotonic stack
dynamic programming,medium,3,memoization
matrix,hard,6,simulation
dynamic programming,medium,3,bitmask
backtracking,hard,7,recursion
sliding window,medium,5,two pointers
tree,hard,7,binary tree
dynamic programming,medium,5,bitmask
binary search,hard,7,graph theory
bitmask,easy,1,backtracking
concurrency,easy,1,design
string,medium,5,sorting
rolling hash,medium,4,suffix array
math,hard,7,number theory
breadth-first search,medium,5,graph theory
binary search,hard,7,graph theory
rolling hash,medium,3,suffix array
dynamic programming,medium,5,bitmask
sorting,hard,6,binary search
graph theory,easy,2,minimum spanning tree
graph theory,medium,5,shortest path
graph theory,easy,2,minimum spanning tree
dynamic programming,easy,1,bitmask
string matching,hard,7,rolling hash
sliding window,easy,1,two pointers
string,easy,1,sorting
math,easy,1,number theory
stack,medium,3,monotonic stack
tree,medium,4,graph theory
two pointers,hard,7,array
binary tree,easy,2,depth-first search
linked list,medium,5,doubly-linked list
breadth-first search,hard,6,graph theory
math,medium,4,number theory
binary tree,easy,1,depth-first search
sorting,hard,6,greedy
array,medium,4,hash table
divide and conquer,medium,4,segment tree
bitmask,hard,7,backtracking
design,easy,1,system design
hash table,medium,4,graph theory
simulation,hard,6,design
depth-first search,medium,5,breadth-first search
number theory,medium,4,combinatorics
linked list,medium,3,doubly-linked list
design,medium,3,system design
two pointers,hard,7,array
string,medium,4,sorting
probability,easy,1,statistics
simulation,easy,1,design
combinatorics,medium,4,probability
matrix,easy,1,simulation
sliding window,medium,3,two pointers
sorting,medium,5,greedy
trie,easy,1,string matching
linked list,medium,4,doubly-linked list
divide and conquer,easy,2,segment tree
combinatorics,medium,5,probability
binary search,hard,6,tree
number theory,medium,5,combinatorics
sliding window,hard,6,two pointers
bitmask,easy,1,backtracking
array,medium,3,hash table
depth-first search,hard,7,breadth-first search
dynamic programming,medium,3,memoization
sorting,medium,4,binary search
segment tree,hard,6,binary indexed tree
rolling hash,medium,3,suffix array
dynamic programming,easy,1,memoization
matrix,medium,4,simulation
shortest path,medium,3,graph theory
two pointers,easy,2,array
two pointers,easy,2,array
graph theory,hard,7,shortest path
binary tree,medium,3,depth-first search
array,easy,1,string
trie,medium,3,string matching
graph theory,hard,7,shortest path
greedy,easy,1,dynamic programming
graph theory,medium,3,shortest path
graph theory,hard,6,shortest path
design,medium,3,system design
number theory,medium,3,combinatorics
system design,hard,6,concurrency
two pointers,medium,3,array
sliding window,easy,2,two pointers
string matching,hard,7,rolling hash
greedy,easy,1,dynamic programming
binary indexed tree,easy,1,range query
probability,hard,6,statistics
linked list,medium,4,doubly-linked list
combinatorics,medium,5,probability
recursion,hard,6,divide and conquer
math,easy,1,number theory
binary search,easy,2,tree
combinatorics,medium,3,probability
graph theory,easy,2,minimum spanning tree
stack,hard,6,monotonic stack
depth-first search,medium,5,breadth-first search
concurrency,medium,4,design
monotonic stack,easy,1,sliding window
stack,easy,1,monotonic stack
binary search,medium,5,tree
string matching,hard,7,rolling hash
concurrency,hard,6,design
number theory,medium,5,combinatorics
array,easy,1,string
two pointers,medium,5,array
graph theory,medium,3,minimum spanning tree
matrix,medium,3,simulation
binary search,easy,2,graph theory
hash table,medium,3,tree
system design,easy,2,concurrency
probability,medium,5,statistics
breadth-first search,medium,5,graph theory
tree,medium,3,binary tree
segment tree,hard,6,binary indexed tree
depth-first search,hard,6,breadth-first search
two pointers,hard,6,array
linked list,medium,3,doubly-linked list
array,hard,6,hash table
monotonic stack,hard,7,sliding window
greedy,easy,2,dynamic programming
divide and conquer,medium,3,segment tree
two pointers,medium,5,array
number theory,easy,2,combinatorics
binary search,hard,6,graph theory
divide and conquer,hard,6,segment tree
tree,easy,2,graph theory
graph theory,medium,5,shortest path
two pointers,medium,3,array
monotonic stack,easy,1,sliding window
divide and conquer,medium,4,segment tree
sliding window,medium,4,two pointers
greedy,medium,5,dynamic programming
backtracking,medium,5,recursion
linked list,easy,2,doubly-linked list
binary indexed tree,hard,7,range query
breadth-first search,easy,2,graph theory
dynamic programming,hard,6,bitmask
string,medium,3,sorting
two pointers,medium,4,array
shortest path,medium,5,graph theory
binary tree,easy,2,depth-first search
monotonic stack,medium,3,sliding window
linked list,medium,4,doubly-linked list
depth-first search,easy,2,breadth-first search
backtracking,medium,3,recursion
rolling hash,easy,2,suffix array
sliding window,easy,1,two pointers
greedy,medium,5,dynamic programming
rolling hash,easy,2,suffix array
concurrency,easy,1,design
dynamic programming,medium,5,memoization
simulation,hard,7,design
rolling hash,medium,4,suffix array
probability,medium,5,statistics
linked list,medium,4,doubly-linked list
hash table,medium,3,tree
string,hard,6,sorting
trie,medium,5,string matching
stack,hard,6,monotonic stack
divide and conquer,hard,6,segment tree
system design,medium,3,concurrency
tree,hard,6,binary tree
dynamic programming,medium,5,memoization
recursion,easy,2,divide and conquer
recursion,easy,1,divide and conquer
stack,hard,7,monotonic stack
binary indexed tree,medium,5,range query
sorting,medium,4,greedy
array,hard,6,hash table
system design,easy,1,concurrency
string matching,medium,4,rolling hash
simulation,medium,3,design
matrix,medium,3,simulation
probability,hard,7,statistics
greedy,hard,6,dynamic programming
string matching,easy,1,rolling hash
sliding window,hard,6,two pointers
linked list,medium,5,doubly-linked list
sorting,medium,5,binary search
combinatorics,hard,6,probability
sliding window,easy,2,two pointers
design,medium,5,system design
bitmask,medium,5,backtracking
recursion,medium,4,divide and conquer
binary tree,easy,2,depth-first search
segment tree,medium,4,binary indexed tree
sliding window,easy,1,two pointers
probability,hard,6,statistics
concurrency,easy,1,design
greedy,medium,3,dynamic programming
divide and conquer,medium,5,segment tree
matrix,medium,3,simulation
trie,medium,5,string matching
binary search,medium,5,graph theory
trie,easy,2,string matching
tree,medium,3,graph theory
linked list,hard,7,doubly-linked list
segment tree,easy,1,binary indexed tree
segment tree,hard,7,binary indexed tree
probability,easy,1,statistics
combinatorics,medium,4,probability
backtracking,easy,2,recursion
sorting,easy,1,binary search
backtracking,easy,1,recursion
recursion,hard,7,divide and conquer
combinatorics,easy,1,probability
dynamic programming,easy,1,memoization
recursion,hard,7,divide and conquer
simulation,medium,5,design
two pointers,easy,1,array
simulation,hard,6,design
binary indexed tree,medium,3,range query
bitmask,medium,5,backtracking
divide and conquer,easy,1,segment tree
string,hard,6,hash table
trie,easy,1,string matching
tree,medium,3,graph theory
segment tree,hard,6,binary indexed tree
hash table,medium,4,graph theory
system design,hard,6,concurrency
recursion,hard,7,divide and conquer
tree,easy,1,graph theory
depth-first search,hard,7,breadth-first search
trie,medium,5,string matching
combinatorics,medium,3,probability
system design,medium,4,concurrency
breadth-first search,medium,4,graph theory
array,easy,1,string
divide and conquer,hard,6,segment tree
number theory,medium,4,combinatorics
math,medium,3,number theory
design,medium,3,system design
hash table,hard,6,tree
array,medium,5,hash table
trie,medium,5,string matching
shortest path,medium,3,graph theory
segment tree,medium,3,binary indexed tree
rolling hash,easy,1,suffix array
tree,medium,3,graph theory
greedy,medium,4,dynamic programming
sliding window,hard,7,two pointers
backtracking,medium,3,recursion
linked list,medium,5,doubly-linked list
concurrency,medium,5,design
segment tree,hard,7,binary indexed tree
hash table,hard,6,graph theory
bitmask,hard,7,backtracking
shortest path,medium,4,graph theory
rolling hash,hard,6,suffix array
simulation,hard,6,design
concurrency,easy,2,design
array,medium,5,string
stack,easy,2,monotonic stack
divide and conquer,medium,5,segment tree
concurrency,easy,1,design
math,hard,6,number theory
monotonic stack,easy,2,sliding window
rolling hash,medium,3,suffix array
trie,medium,4,string matching
sorting,medium,4,binary search
recursion,medium,3,divide and conquer
design,easy,1,system design
concurrency,medium,5,design
binary tree,medium,4,depth-first search
breadth-first search,medium,4,graph theory
depth-first search,medium,3,breadth-first search
stack,hard,7,monotonic stack
monotonic stack,hard,7,sliding window
concurrency,easy,2,design
depth-first search,medium,4,breadth-first search
dynamic programming,medium,3,bitmask
recursion,hard,7,divide and conquer
divide and conquer,easy,1,segment tree
dynamic programming,hard,6,memoization
combinatorics,easy,1,probability
rolling hash,medium,3,suffix array
hash table,medium,4,graph theory
rolling hash,hard,7,suffix array
array,medium,4,hash table
binary tree,easy,1,depth-first search
stack,hard,7,monotonic stack
two pointers,easy,2,array
stack,hard,7,monotonic stack
matrix,hard,6,simulation
segment tree,medium,4,binary indexed tree
simulation,medium,4,design
depth-first search,easy,2,breadth-first search
system design,medium,5,concurrency
system design,hard,6,concurrency
binary indexed tree,hard,7,range query
system design,medium,3,concurrency
tree,hard,6,binary tree
combinatorics,medium,5,probability
number theory,easy,2,combinatorics
two pointers,hard,6,array
binary tree,hard,6,depth-first search
binary search,hard,7,tree
binary search,medium,3,graph theory
design,medium,5,system design
sliding window,medium,3,two pointers
depth-first search,medium,5,breadth-first search
tree,hard,6,graph theory
binary search,medium,3,graph theory
binary indexed tree,medium,5,range query
binary search,easy,1,graph theory
binary tree,medium,5,depth-first search
two pointers,medium,3,array
trie,easy,1,string matching
divide and conquer,medium,4,segment tree
tree,medium,4,graph theory
sorting,easy,1,binary search
sorting,hard,6,binary search
monotonic stack,hard,6,sliding window
monotonic stack,easy,1,sliding window
design,easy,2,system design
rolling hash,hard,7,suffix array
backtracking,easy,1,recursion
dynamic programming,easy,2,memoization
breadth-first search,easy,2,graph theory
string matching,hard,7,rolling hash
monotonic stack,medium,4,sliding window
stack,medium,4,monotonic stack
dynamic programming,easy,1,bitmask
design,easy,1,system design
hash table,medium,3,graph theory
trie,medium,4,string matching
matrix,easy,1,simulation
graph theory,hard,7,minimum spanning tree
monotonic stack,medium,3,sliding window
tree,easy,1,graph theory
probability,easy,2,statistics
breadth-first search,hard,6,graph theory
probability,medium,5,statistics
combinatorics,medium,4,probability
segment tree,medium,3,binary indexed tree
depth-first search,hard,7,breadth-first search
system design,medium,5,concurrency
sorting,easy,1,greedy
segment tree,medium,3,binary indexed tree
binary tree,hard,6,depth-first search
segment tree,hard,7,binary indexed tree
stack,medium,5,monotonic stack
two pointers,easy,1,array
tree,easy,2,binary tree
simulation,easy,2,design
string matching,hard,7,rolling hash
string,medium,5,hash table
string matching,easy,2,rolling hash
backtracking,hard,7,recursion
trie,medium,5,string matching
dynamic programming,medium,3,memoization
string,medium,4,hash table
string,easy,2,sorting
greedy,easy,2,dynamic programming
binary search,easy,1,graph theory
dynamic programming,easy,1,bitmask
segment tree,medium,5,binary indexed tree
linked list,medium,5,doubly-linked list
divide and conquer,medium,5,segment tree
system design,easy,2,concurrency
greedy,easy,2,dynamic programming
string matching,easy,2,rolling hash
design,medium,3,system design
breadth-first search,medium,4,graph theory
depth-first search,medium,5,breadth-first search
dynamic programming,medium,4,memoization
array,medium,3,hash table
monotonic stack,hard,6,sliding window
bitmask,hard,7,backtracking
concurrency,medium,3,design
sorting,hard,6,binary search
matrix,hard,7,simulation
segment tree,medium,3,binary indexed tree
stack,medium,4,monotonic stack
breadth-first search,hard,6,graph theory
tree,hard,6,binary tree
segment tree,medium,3,binary indexed tree
number theory,medium,3,combinatorics
string,medium,3,sorting
two pointers,hard,6,array
system design,medium,3,concurrency
shortest path,medium,3,graph theory
tree,medium,3,graph theory
sliding window,medium,3,two pointers
segment tree,hard,6,binary indexed tree
monotonic stack,medium,4,sliding window
binary indexed tree,hard,6,range query
hash table,easy,1,tree
bitmask,hard,6,backtracking
rolling hash,hard,7,suffix array
segment tree,easy,2,binary indexed tree
system design,easy,2,concurrency
string matching,hard,7,rolling hash
concurrency,medium,5,design
backtracking,easy,2,recursion
depth-first search,hard,6,breadth-first search
shortest path,medium,5,graph theory
concurrency,hard,7,design
hash table,easy,1,graph theory
stack,medium,4,monotonic stack
graph theory,easy,2,shortest path
stack,easy,2,monotonic stack
monotonic stack,easy,1,sliding window
simulation,easy,1,design
bitmask,medium,5,backtracking
monotonic stack,medium,5,sliding window
trie,hard,7,string matching
matrix,medium,3,simulation
binary tree,hard,6,depth-first search
combinatorics,hard,7,probability
tree,hard,6,graph theory
linked list,easy,1,doubly-linked list
breadth-first search,hard,7,graph theory
linked list,medium,4,doubly-linked list
simulation,hard,6,design
two pointers,medium,4,array
dynamic programming,easy,2,bitmask
matrix,hard,7,simulation
segment tree,hard,7,binary indexed tree
probability,medium,3,statistics
breadth-first search,easy,2,graph theory
recursion,easy,1,divide and conquer
simulation,medium,4,design
binary search,easy,2,tree
string matching,hard,6,rolling hash
sorting,hard,6,binary search
string,easy,2,sorting
math,medium,4,number theory
shortest path,hard,7,graph theory
rolling hash,easy,1,suffix array
stack,easy,1,monotonic stack
array,medium,3,string
binary search,medium,3,graph theory
concurrency,medium,5,design
tree,medium,5,binary tree
two pointers,hard,7,array
design,hard,6,system design
combinatorics,medium,3,probability
segment tree,easy,1,binary indexed tree
trie,medium,3,string matching
combinatorics,medium,5,probability
divide and conquer,easy,1,segment tree
greedy,hard,6,dynamic programming
hash table,easy,2,graph theory
combinatorics,easy,1,probability
string,medium,5,hash table
binary tree,hard,6,depth-first search
greedy,medium,5,dynamic programming
concurrency,medium,5,design
tree,medium,5,graph theory
recursion,medium,3,divide and conquer
binary tree,easy,1,depth-first search
concurrency,hard,6,design
system design,easy,1,concurrency
system design,medium,5,concurrency
linked list,medium,4,doubly-linked list
tree,easy,2,graph theory
sorting,medium,4,binary search
sorting,easy,2,binary search
sliding window,medium,4,two pointers
bitmask,easy,1,backtracking
stack,hard,7,monotonic stack
design,medium,4,system design
two pointers,hard,6,array
backtracking,easy,1,recursion
probability,easy,1,statistics
sorting,medium,5,greedy
string matching,hard,6,rolling hash
hash table,hard,7,graph theory
combinatorics,hard,7,probability
greedy,easy,1,dynamic programming
combinatorics,medium,4,probability
binary tree,easy,2,depth-first search
dynamic programming,easy,2,bitmask
stack,medium,3,monotonic stack
math,easy,2,number theory
graph theory,hard,6,shortest path
binary tree,medium,3,depth-first search
system design,easy,1,concurrency
backtracking,easy,1,recursion
string matching,easy,1,rolling hash
simulation,medium,5,design
string,hard,6,sorting
tree,hard,7,graph theory
recursion,medium,5,divide and conquer
greedy,hard,6,dynamic programming
probability,hard,6,statistics
bitmask,hard,6,backtracking
shortest path,medium,3,graph theory
recursion,hard,6,divide and conquer
hash table,easy,2,tree
segment tree,medium,5,binary indexed tree
string,medium,3,hash table
backtracking,hard,6,recursion
rolling hash,easy,1,suffix array
tree,easy,2,graph theory
array,easy,1,string
bitmask,medium,3,backtracking
sliding window,medium,4,two pointers
greedy,medium,3,dynamic programming
backtracking,medium,3,recursion
probability,hard,7,statistics
dynamic programming,medium,3,bitmask
hash table,medium,5,tree
math,medium,3,number theory
shortest path,hard,6,graph theory
number theory,easy,1,combinatorics
matrix,easy,1,simulation
linked list,medium,4,doubly-linked list
dynamic programming,medium,5,bitmask
dynamic programming,easy,1,memoization
recursion,hard,6,divide and conquer
design,easy,1,system design
shortest path,hard,7,graph theory
math,hard,6,number theory
binary tree,medium,5,depth-first search
matrix,easy,2,simulation
math,easy,2,number theory
divide and conquer,medium,3,segment tree
linked list,medium,3,doubly-linked list
trie,easy,2,string matching
concurrency,medium,5,design
binary search,hard,6,tree
array,easy,1,hash table
matrix,easy,1,simulation
design,medium,5,system design
backtracking,hard,7,recursion
rolling hash,medium,4,suffix array
binary search,medium,3,tree
depth-first search,medium,5,breadth-first search
binary indexed tree,hard,6,range query
rolling hash,easy,1,suffix array
sliding window,medium,3,two pointers
string,easy,1,hash table
two pointers,hard,6,array
rolling hash,easy,1,suffix array
dynamic programming,medium,3,bitmask
matrix,easy,1,simulation
greedy,medium,5,dynamic programming
trie,medium,5,string matching
rolling hash,easy,2,suffix array
simulation,easy,1,design
array,hard,7,hash table
binary tree,easy,2,depth-first search
rolling hash,hard,7,suffix array
graph theory,medium,4,minimum spanning tree
